Company Name,Transparency score,Scope1+2Reported,BiogenicReported,BoundaryFirm,GwpAssessment,CalendarYearAll,DaysGhgToRelease,GghReport,Scope3Reported,GhgPermaLink
"Hasbro, Inc.",9,yes,no,Operational Control,IPCC 5th; US EPA eGRID,yes,340.00,yes,yes,https://perma.cc/7EPS-8ZB3
Honeywell International Inc.,9,yes,no,Operational Control,IPCC Fifth,yes,250.00,yes,yes,https://perma.cc/V78F-PGVU
"Host Hotels & Resorts, Inc.",9,yes,no,Financial Control,IPCC Fifth,yes,181.00,yes,yes,https://perma.cc/5EXH-T5CE
Johnson Controls International plc,9,yes,yes,Operational Control,IPCC Fourth,no,96.00,yes,yes,https://perma.cc/XA8L-HVN3
Lincoln National Corporation,9,yes,no,Financial Control,IPCC Fifth,yes,274.00,yes,yes,https://perma.cc/J4EZ-UMV4
"Lumen Technologies, Inc.",9,yes,yes,Operational Control,IPCC 2nd/4th; US EPA eGRID,yes,210.00,yes,no,https://perma.cc/58JN-Q2SH
"Marriott International, Inc.",9,yes,no,Operational Control,IPCC Fourth,yes,176.00,yes,yes,https://perma.cc/F7EH-SNHT
MGM Resorts International,9,yes,no,Operational Control,IPCC 4th/5th,yes,351.00,yes,yes,https://perma.cc/Q7D7-MEYF
Morgan Stanley,9,yes,no,Operational Control,IPCC 4th; US EPA eGRID 2016,yes,341.00,yes,yes,https://perma.cc/RYC5-2YUS
Northern Trust Corporation,9,yes,no,Operational Control,IPCC 3rd/4th/5th,yes,,yes,yes,https://perma.cc/4DMG-CKL9
Pfizer Inc.,9,yes,yes,Operational Control,IPCC Fifth,yes,246.00,yes,no,https://perma.cc/RSF9-WXLF
"Prudential Financial, Inc.",9,yes,no,Operational Control,IPCC 4th/5th,yes,175.00,yes,yes,https://perma.cc/5BHU-U4HY
Raytheon Technologies Corporation,9,yes,no,Operational Control,IPCC 4th/5th,yes,216.00,yes,yes,https://perma.cc/9AWM-AA47
The Boeing Company,9,"yes, exclusions",yes,Operational Control,IPCC Fourth,yes,119.00,yes,yes,https://perma.cc/3H6Z-U5WD
The Southern Company,9,yes,yes,Equity Share,EPA Table A-1,yes,209.00,yes,yes,https://perma.cc/A3MB-5NEM
Truist Financial Corporation,9,yes,no,Operational Control,IPCC 5th; US EPA eGRID,yes,195.00,yes,yes,https://perma.cc/AA9Z-7JW2
"Ventas, Inc.",9,yes,no,Operational Control,IPCC 2nd/5th,yes,200.00,yes,yes,https://perma.cc/MT3B-WS2M
Vornado Realty Trust,9,yes,no,Financial Control,IPCC Fifth,yes,98.00,yes,yes,https://perma.cc/DS4R-CD7J
Abbott Laboratories,8,yes,no,Operational Control,not reported,yes,85.00,yes,yes,https://perma.cc/XR3B-EG8B
Adobe Inc.,8,yes,no,Operational Control,IPCC Fifth,no,123.00,yes,yes,https://perma.cc/QEW8-JNQ8
"Agilent Technologies, Inc.",8,yes,no,Operational Control,IEA 2019; US EPA eGRID 2018,no,187.00,yes,yes,https://perma.cc/M9Q4-BGKU
"Amazon.com, Inc.",8,yes,no,Operational Control,not reported,yes,181.00,yes,yes,https://perma.cc/TF84-TZNA
AmerisourceBergen Corporation,8,yes,no,Operational Control,IPCC Fourth,no,258.00,yes,yes,https://perma.cc/G97V-RK26
Aptiv PLC,8,yes,no,Operational Control,not reported,yes,98.00,yes,yes,https://perma.cc/P96T-XM6P
"Arista Networks, Inc.",8,yes,no,Operational Control,IPCC Fifth,yes,187.00,yes,yes,https://perma.cc/JLB8-72EN
Biogen Inc.,8,yes,no,Operational Control,not reported,yes,113.00,yes,yes,https://perma.cc/RZ7A-AANC
Capital One Financial Corporation,8,yes,no,Operational Control,not reported,yes,228.00,yes,yes,https://perma.cc/KLH5-W5G3
Citigroup Inc.,8,yes,no,Operational Control,not reported,yes,116.00,yes,yes,https://perma.cc/2UFB-B5HJ
ConocoPhillips,8,"yes, exclusions",no,Operational Control,IPCC Fourth,yes,160.00,yes,yes,https://perma.cc/A6DB-8STL
"Consolidated Edison, Inc.",8,yes,no,Equity Share,US EPA eGRID,yes,200.00,yes,yes,https://perma.cc/Y57W-RWAP
CVS Health Corporation,8,yes,no,Operational Control,not reported,yes,111.00,yes,yes,https://perma.cc/AAX9-727K
Devon Energy Corporation,8,yes,no,Operational Control,IPCC Fourth,yes,356.00,yes,yes,https://perma.cc/2EH4-797V
Dover Corporation,8,"yes, exclusions",no,Operational Control,IPCC 4th/5th; US EPA eGRID,yes,204.00,yes,yes,https://perma.cc/4ZTB-7YEG
"DuPont de Nemours, Inc.",8,"yes, exclusions",yes,Operational Control,IPCC Fifth,yes,155.00,yes,no,https://perma.cc/RE64-5CJH
"Facebook, Inc.",8,yes,no,Operational Control,not reported,yes,230.00,yes,yes,https://perma.cc/6GSW-XBR3
Halliburton Company,8,yes,no,Operational Control,IPCC Fifth,yes,90.00,yes,yes,https://perma.cc/UMS9-AMC4
Hess Corporation,8,yes,no,Mixed,IPCC Fourth,yes,180.00,yes,yes,https://perma.cc/4N3B-U727
Illinois Tool Works Inc.,8,yes,no,Operational Control,not reported,yes,74.00,yes,yes,https://perma.cc/K7WV-EXQ6
International Business Machines Corporation,8,"yes, exclusions",no,Operational Control,IPCC Fifth,yes,146.00,yes,yes,https://perma.cc/FB8S-E57L
International Paper Company,8,yes,yes,Operational Control,IPCC 4th; US EPA eGRID,yes,188.00,yes,no,https://perma.cc/UE8Z-FLFY
"Merck & Co., Inc.",8,yes,no,Operational Control,not reported,yes,208.00,yes,yes,https://perma.cc/D8WA-FLZW
Microsoft Corporation,8,yes,no,Operational Control,IPCC Fourth,no,245.00,yes,yes,https://perma.cc/9PKZ-HT38
Moody's Corporation,8,yes,no,Operational Control,not reported,yes,96.00,yes,yes,https://perma.cc/SG4F-KX7W
Realty Income Corporation,8,yes,no,Operational Control,IPCC Fifth,yes,90.00,yes,yes,https://perma.cc/959Y-YVG5
"Regeneron Pharmaceuticals, Inc.",8,yes,no,Operational Control,not reported,yes,98.00,yes,yes,https://perma.cc/VG9Q-KRKG
Regions Financial Corporation,8,yes,no,Operational Control,not reported,yes,174.00,yes,yes,https://perma.cc/C7S6-HXYW
Seagate Technology Holdings plc,8,yes,no,Operational Control,IPCC Fifth,no,180.00,yes,yes,https://perma.cc/FN7G-NR9Q
"Teradyne, Inc.",8,yes,no,Operational Control,IPCC Fourth,yes,309.00,yes,yes,https://perma.cc/7CD7-Q6VS
The Allstate Corporation,8,yes,no,no boundary data,IPCC 2nd/4th,yes,208.00,yes,yes,https://perma.cc/H6JV-JPS6
The Bank of New York Mellon Corporation,8,yes,no,Operational Control,not reported,yes,179.00,yes,yes,https://perma.cc/6FJV-2WDP
The Mosaic Company,8,"yes, exclusions",yes,Operational Control,not reported,yes,165.00,yes,yes,https://perma.cc/GQ4X-AF8U
"The PNC Financial Services Group, Inc.",8,yes,no,Operational Control,IPCC 4th; US EPA,yes,181.00,yes,yes,https://perma.cc/S5MQ-QYM8
"United Airlines Holdings, Inc.",8,yes,no,Operational Control,not reported,yes,,yes,yes,http://crreport.united.com/
"Waste Management, Inc.",8,"yes, exclusions",yes,Operational Control,not reported,yes,168.00,yes,yes,https://perma.cc/N59S-ZMW4
Accenture plc,7,yes,no,Operational Control,not reported,no,207.00,yes,yes,https://perma.cc/4YTF-B68G
"Alexion Pharmaceuticals, Inc.",7,yes,no,Operational Control,not reported,yes,76.00,yes,no,https://perma.cc/EJH6-XMCT
"Ameriprise Financial, Inc.",7,yes,no,Operational Control,not reported,yes,181.00,yes,no,https://perma.cc/HE5N-CQ2V
"Applied Materials, Inc.",7,"yes, exclusions",no,Operational Control,IEA 2019/2020; eGRID; ERCOT,no,181.00,yes,yes,https://perma.cc/2C56-763W
Bristol-Myers Squibb Company,7,yes,no,Operational Control,not reported,yes,215.00,yes,yes,https://perma.cc/CH9E-GTPS
Cerner Corporation,7,yes,no,no boundary data,US EPA eGRID 2020,yes,251.00,yes,yes,https://perma.cc/8V66-6VBB
"Citizens Financial Group, Inc.",7,yes,no,Operational Control,not reported,yes,166.00,yes,no,https://perma.cc/N3J3-8F5X
Cognizant Technology Solutions Corporation,7,"yes, exclusions",no,Operational Control,not reported,yes,148.00,yes,yes,https://perma.cc/N4LD-9QH2
"Corteva, Inc.",7,yes,no,Operational Control,not reported,yes,153.00,yes,yes,https://perma.cc/D4TX-NR89
Crown Castle International Corp. (REIT),7,yes,no,Operational Control,EPA eGRID,yes,342.00,yes,no,https://perma.cc/6UFJ-NGJE
"Delta Air Lines, Inc.",7,"yes, exclusions",no,Operational Control,IPCC Second,yes,125.00,yes,yes,https://perma.cc/92BV-TLQE
"Digital Realty Trust, Inc.",7,yes,no,Mixed,not reported,yes,166.00,yes,yes,https://perma.cc/8LU4-7LX5
Duke Energy Corporation,7,yes,no,Equity Share,not reported,yes,112.00,yes,no,https://perma.cc/6R95-BTZA
"Expedia Group, Inc.",7,yes,no,no boundary data,not reported,yes,116.00,yes,yes,https://perma.cc/PB4L-Q5WY
"Expeditors International of Washington, Inc.",7,yes,no,Operational Control,not reported,yes,82.00,yes,yes,https://perma.cc/3X7U-J2FV
General Electric Company,7,yes,no,Operational Control,EPA,yes,202.00,yes,no,https://perma.cc/HFU7-2EYY
"Healthpeak Properties, Inc.",7,yes,no,Operational Control,not reported,yes,204.00,yes,no,https://perma.cc/ZKN6-5ECC
IQVIA Holdings Inc.,7,yes,no,no boundary data,not reported,yes,424.00,yes,yes,https://perma.cc/N5EH-XYWE
KeyCorp,7,yes,no,Operational Control,not reported,yes,138.00,yes,yes,https://perma.cc/MCR3-NSYK
"Motorola Solutions, Inc.",7,"yes, exclusions",no,Operational Control,not reported,yes,101.00,yes,yes,https://perma.cc/B7VN-NUFH
Oracle Corporation,7,yes,no,Operational Control,IPCC Fourth,no,231.00,yes,yes,https://perma.cc/MF7K-79AX
"PayPal Holdings, Inc.",7,"yes, exclusions",no,Operational Control,not reported,yes,113.00,yes,yes,https://perma.cc/UNG5-6TXP
"PPG Industries, Inc.",7,yes,no,Financial Control,not reported,yes,139.00,yes,no,https://perma.cc/25F6-Y3SE
"Ross Stores, Inc.",7,yes,no,Operational Control,not reported,no,318.00,yes,yes,https://perma.cc/J8C3-AGPK
Southwest Airlines Co.,7,yes,no,no boundary data,not reported,yes,123.00,yes,yes,https://perma.cc/WN9N-26SA
Starbucks Corporation,7,yes,no,Operational Control,not reported,no,212.00,yes,yes,https://perma.cc/KQB9-3UH4
Sysco Corporation,7,"yes, exclusions",no,Operational Control,IPCC Fifth,no,145.00,yes,yes,https://perma.cc/2HLN-XLGR
"The Interpublic Group of Companies, Inc.",7,yes,no,Operational Control,IPCC 5th; UK DEFRA 2019; US EPA,yes,294.00,yes,no,https://perma.cc/9SKR-57PV
The Kraft Heinz Company,7,"yes, exclusions",yes,no boundary data,not reported,yes,193.00,yes,yes,https://perma.cc/SUX5-VKQS
"The Williams Companies, Inc.",7,"yes, exclusions",no,Operational Control,IPCC Fourth,yes,209.00,yes,no,https://perma.cc/8SDM-LPPS
UnitedHealth Group Incorporated,7,"yes, exclusions",no,Operational Control,not reported,yes,139.00,yes,yes,https://perma.cc/SXB9-J794
Unum Group,7,"yes, exclusions",no,Operational Control,not reported,yes,131.00,yes,yes,https://perma.cc/HWZ9-UHK2
ViacomCBS Inc.,7,yes,no,no boundary data,IPCC Fifth,yes,354.00,yes,yes,https://perma.cc/6V2V-DENZ
Westinghouse Air Brake Technologies Corporation,7,yes,no,no boundary data,not reported,yes,223.00,yes,yes,https://perma.cc/5WFE-7DNP
Xylem Inc.,7,yes,no,no boundary data,not reported,yes,148.00,yes,yes,https://perma.cc/6S2W-KHVS
Albemarle Corporation,6,yes,no,Financial Control,not reported,yes,152.00,yes,no,https://perma.cc/JY9Q-3T2E
Allegion plc,6,yes,no,Operational Control,not reported,yes,,yes,no,https://perma.cc/F6HR-P9EB
"American Water Works Company, Inc.",6,"yes, exclusions",yes,no boundary data,IPCC Fifth,yes,201.00,yes,no,https://perma.cc/97SB-ETNP
Arthur J. Gallagher & Co.,6,yes,no,no boundary data,not reported,yes,316.00,yes,yes,https://perma.cc/MC3L-QMAN
Booking Holdings Inc.,6,yes,no,no boundary data,not reported,yes,84.00,yes,yes,https://perma.cc/47T9-BV99
"C.H. Robinson Worldwide, Inc.",6,yes,no,Operational Control,not reported,yes,146.00,yes,no,https://perma.cc/HS3M-AYAM
"Cadence Design Systems, Inc.",6,yes,no,no boundary data,not reported,yes,232.00,yes,yes,https://perma.cc/DCC5-DEVU
Campbell Soup Company,6,"yes, exclusions",no,Operational Control,not reported,no,151.00,yes,yes,https://perma.cc/UWU9-NYZ9
Caterpillar Inc.,6,yes,no,no boundary data,not reported,yes,111.00,yes,no,https://perma.cc/TV4F-VDB3
Edison International,6,yes,no,no boundary data,not reported,yes,155.00,yes,yes,https://perma.cc/M9SA-S4HA
"Equinix, Inc. (REIT)",6,yes,no,no boundary data,not reported,yes,130.00,yes,yes,https://perma.cc/P2WF-W4XS
"Essex Property Trust, Inc.",6,yes,no,Operational Control,not reported,yes,126.00,yes,no,https://perma.cc/JR9P-C28W
Global Payments Inc.,6,yes,no,Operational Control,not reported,yes,229.00,yes,no,https://perma.cc/V9GK-35DM
Hormel Foods Corporation,6,yes,no,Operational Control,IPCC Second,no,270.00,yes,no,https://perma.cc/ZB8Q-97QX
HP Inc.,6,yes,no,no boundary data,not reported,no,218.00,yes,yes,https://perma.cc/7WMC-ERFX
Invesco Ltd.,6,"yes, exclusions",no,Operational Control,not reported,yes,160.00,yes,yes,https://perma.cc/DVP7-PJGT
"Juniper Networks, Inc.",6,"yes, exclusions",no,Operational Control,not reported,yes,309.00,yes,yes,https://perma.cc/693A-ETYR
Kansas City Southern,6,yes,no,no boundary data,not reported,yes,312.00,yes,no,https://perma.cc/ALB3-7XCX
"McCormick & Company, Incorporated",6,yes,no,Operational Control,not reported,no,445.00,yes,yes,https://perma.cc/54XR-RRVZ
"Mid-America Apartment Communities, Inc.",6,yes,no,no boundary data,not reported,yes,365.00,yes,yes,https://perma.cc/3TNS-QBYJ
Nucor Corporation,6,yes,no,no boundary data,not reported,yes,301.00,yes,yes,https://perma.cc/Q3SL-V942
Omnicom Group Inc.,6,yes,no,no boundary data,not reported,yes,188.00,yes,yes,https://perma.cc/3ENS-WLP2
Sealed Air Corporation,6,yes,no,no boundary data,IPCC Fourth,yes,285.00,yes,no,https://perma.cc/ND2V-88VW
"ServiceNow, Inc.",6,yes,no,no boundary data,not reported,yes,116.00,yes,yes,https://perma.cc/AJ5U-A3RE
The Sherwin-Williams Company,6,yes,no,no boundary data,not reported,yes,90.00,yes,yes,https://perma.cc/6YCU-CUVG
"UDR, Inc.",6,"yes, exclusions",no,Operational Control,not reported,yes,291.00,yes,no,https://perma.cc/93YJ-BFU9
Valero Energy Corporation,6,yes,no,Operational Control,not reported,yes,207.00,yes,no,https://perma.cc/PZQ6-D4JK
"AMETEK, Inc.",5,yes,no,no boundary data,not reported,yes,300.00,yes,no,https://perma.cc/EA8J-UQ3X
BorgWarner Inc.,5,"yes, exclusions",no,no boundary data,not reported,yes,166.00,yes,yes,https://perma.cc/DRV8-PU7J
"Broadridge Financial Solutions, Inc.",5,yes,no,no boundary data,not reported,no,193.00,yes,yes,https://perma.cc/82J4-2ZJ5
"Cboe Global Markets, Inc.",5,"yes, exclusions",no,no boundary data,US EPA eGRID 2020,yes,164.00,yes,no,https://perma.cc/9KL7-HVZA
"CF Industries Holdings, Inc.",5,yes,no,other boundary,not reported,yes,81.00,yes,no,https://perma.cc/TG3D-FDW4
Masco Corporation,5,yes,no,no boundary data,not reported,yes,284.00,yes,no,https://perma.cc/4NDQ-4AX5
"Mohawk Industries, Inc.",5,yes,no,no boundary data,not reported,yes,350.00,yes,no,https://perma.cc/NKQ2-GFTH
NortonLifeLock Inc.,5,yes,no,no boundary data,not reported,no,212.00,yes,yes,https://perma.cc/5YTY-KGWH
Otis Worldwide Corporation,5,yes,no,no boundary data,not reported,yes,144.00,yes,no,https://perma.cc/UY6T-4672
Public Storage,5,yes,no,no boundary data,not reported,yes,180.00,yes,no,https://perma.cc/62B9-UGNH
QUALCOMM Incorporated,5,yes,no,no boundary data,not reported,no,127.00,yes,yes,https://perma.cc/N8D2-GEBB
"Tapestry, Inc.",5,yes,no,no boundary data,not reported,no,228.00,yes,yes,https://perma.cc/3LTA-46F5
Teledyne Technologies Incorporated,5,yes,no,no boundary data,not reported,yes,418.00,yes,no,https://perma.cc/7WLW-NZLC
Textron Inc.,5,yes,no,no boundary data,not reported,yes,188.00,yes,no,https://perma.cc/7XDE-UZTT
"The Cooper Companies, Inc.",5,yes,no,Operational Control,not reported,no,164.00,yes,no,https://perma.cc/QPE7-2EJ6
"The Home Depot, Inc.",5,yes,no,no boundary data,not reported,no,210.00,yes,yes,https://perma.cc/C5CB-5QQN
Trimble Inc.,5,"yes, exclusions",no,no boundary data,not reported,yes,89.00,yes,yes,https://perma.cc/X58M-KYYX
"Ulta Beauty, Inc.",5,yes,no,no boundary data,not reported,no,413.00,yes,yes,https://perma.cc/KU2F-TWZU
Carrier Global Corporation,4,"yes, exclusions",no,no boundary data,not reported,yes,222.00,yes,no,https://perma.cc/ZF8H-AMCB
Dentsply Sirona Inc.,4,"yes, exclusions",no,no boundary data,not reported,yes,110.00,yes,no,https://perma.cc/JFM8-CGZZ
"F5 Networks, Inc.",4,yes,no,no boundary data,not reported,no,302.00,yes,no,https://perma.cc/HTY8-78AG
IDEX Corporation,4,"yes, exclusions",no,no boundary data,not reported,yes,68.00,yes,no,https://perma.cc/4C8B-Q357
Zoetis Inc.,4,"yes, exclusions",no,no boundary data,not reported,yes,154.00,yes,no,https://perma.cc/K3K3-V8JT
"Advance Auto Parts, Inc.",3,no,no,no boundary data,not reported,yes,92.00,yes,no,https://perma.cc/L77B-P2W3
"Tyson Foods, Inc.",3,"yes, exclusions",no,no boundary data,not reported,no,251.00,yes,no,https://perma.cc/76A6-YJQF
CME Group Inc.,1,no,no,Operational Control,not reported,no,,no,no,
"Constellation Brands, Inc.",1,no,no,no boundary data,IPCC Fourth,no,,no,no,
Electronic Arts Inc.,1,no,no,Operational Control,not reported,no,,no,no,
"Gilead Sciences, Inc.",1,no,no,Operational Control,not reported,no,,no,no,
IHS Markit Ltd.,1,no,no,no boundary data,EPA US eGrid,no,,no,no,
KLA Corporation,1,no,no,Operational Control,not reported,no,,no,no,
"Abiomed, Inc.",0,no,no,no boundary data,not reported,no,,no,no,
Atmos Energy Corporation,0,no,no,no boundary data,not reported,no,,no,no,
Brown-Forman Corporation,0,no,no,no boundary data,not reported,no,,no,no,
"Copart, Inc.",0,no,no,no CSR Report,not reported,no,,no,no,
Costco Wholesale Corporation,0,no,no,no CSR Report,not reported,no,,no,no,
"D.R. Horton, Inc.",0,no,no,no CSR Report,not reported,no,,no,no,
"DexCom, Inc.",0,no,no,no boundary data,not reported,no,,no,no,
"Enphase Energy, Inc.",0,no,no,no CSR Report,not reported,no,,no,no,
Fastenal Company,0,no,no,no CSR Report,not reported,no,,no,no,
FedEx Corporation,0,no,no,no CSR Report,not reported,no,,no,no,
"FLEETCOR Technologies, Inc.",0,no,no,no CSR Report,not reported,no,,no,no,
Fox Corporation,0,no,no,no boundary data,not reported,no,,no,no,
Garmin Ltd.,0,no,no,no boundary data,not reported,no,,no,no,
Generac Holdings Inc.,0,no,no,no boundary data,not reported,no,,no,no,
"Hologic, Inc.",0,no,no,no boundary data,not reported,no,,no,no,
"Huntington Ingalls Industries, Inc.",0,no,no,no boundary data,not reported,no,,no,no,
"IDEXX Laboratories, Inc.",0,no,no,no CSR Report,not reported,no,,no,no,
"L Brands, Inc.",0,no,no,no CSR Report,not reported,no,,no,no,
Lennar Corporation,0,no,no,no CSR Report,not reported,no,,no,no,
"Live Nation Entertainment, Inc.",0,no,no,no CSR Report,not reported,no,,no,no,
Loews Corporation,0,no,no,no CSR Report,not reported,no,,no,no,
"Maxim Integrated Products, Inc.",0,no,no,no CSR Report,not reported,no,,no,no,
"Paycom Software, Inc.",0,no,no,no boundary data,not reported,no,,no,no,
"Penn National Gaming, Inc.",0,no,no,no boundary data,not reported,no,,no,no,
"People's United Financial, Inc.",0,no,no,no boundary data,not reported,no,,no,no,
"Quanta Services, Inc.",0,no,no,no boundary data,not reported,no,,no,no,
Snap-on Incorporated,0,no,no,no boundary data,not reported,no,,no,no,
"Tesla, Inc.",0,no,no,no boundary data,not reported,no,,no,no,
The Progressive Corporation,0,no,no,no boundary data,not reported,no,,no,no,
"Under Armour, Inc.",0,no,no,no CSR Report,not reported,no,,no,no,
"Zimmer Biomet Holdings, Inc.",0,no,no,no boundary data,not reported,no,,no,no,
