Company Name,Scope1+2Total,Rank,Exclusions,AssureType,Revenues,Scope1+2-Revenues,RankRevenues,SasbIndustry,RankIndustry,EpaScope1Emit,EpaScope1Rank,EpaScope1/Revenues,EpaRankRevenues
"Alexion Pharmaceuticals, Inc.","11,264.00",21.00,no,reasonable,"6,261.60",1.80,40.00,Biotechnology & Pharmaceuticals,1.00,0.00,1,0.00,1.00
Allegion plc,"99,492.00",109.00,no,no assurances,"2,739.50",36.32,209.00,Electrical & Electronic Equipment,4.00,0.00,1,0.00,1.00
Alphabet Inc.,"950,109.00",227.00,yes,limited,"196,682.00",4.83,70.00,Internet Media & Services,5.00,"19,992.00",296,0.10,295.00
"Altria Group, Inc.","280,968.00",169.00,no,limited,"20,675.00",13.59,133.00,Tobacco,1.00,"87,832.00",319,4.25,315.00
"Amazon.com, Inc.","14,888,000.00",297.00,no,reasonable,"419,130.00",35.52,207.00,E-commerce,2.00,0.00,1,0.00,1.00
Ameren Corporation,"26,025,341.00",313.00,yes,limited,"5,661.00","4,597.30",325.00,Electric Utilities & Power Generators,9.00,"24,314,880.00",388,"4,295.16",397.00
American Airlines Group Inc.,"20,067,000.00",309.00,no,limited,"12,830.00","1,564.07",308.00,Airlines,6.00,"42,300.00",307,3.30,313.00
"American Electric Power Company, Inc.","49,713,300.00",323.00,no,high,"15,452.10","3,217.25",320.00,Electric Utilities & Power Generators,15.00,"69,794,576.00",398,"4,516.83",398.00
American Tower Corporation (REIT),"627,705.00",208.00,yes,no assurances,"8,206.90",76.49,243.00,Real Estate,20.00,0.00,1,0.00,1.00
"American Water Works Company, Inc.","545,111.00",201.00,yes,no assurances,"3,821.00",142.66,254.00,Water Utilities & Services,1.00,0.00,1,0.00,1.00
"Ameriprise Financial, Inc.","1,640.00",4.00,no,limited,"12,287.00",0.13,3.00,Asset Management & Custody Activities,1.00,0.00,1,0.00,1.00
AmerisourceBergen Corporation,"113,218.00",123.00,no,moderate,"196,282.27",0.58,13.00,Health Care Distributors,1.00,0.00,1,0.00,1.00
"AMETEK, Inc.","110,000.00",122.00,no,no assurances,"4,553.55",24.16,165.00,Electrical & Electronic Equipment,6.00,0.00,1,0.00,1.00
Amgen Inc.,"243,000.00",162.00,no,limited,"25,164.00",9.66,106.00,Biotechnology & Pharmaceuticals,6.00,"35,994.00",304,1.43,300.00
"Analog Devices, Inc.","140,623.00",132.00,no,no assurances,"6,202.30",22.67,160.00,Semiconductors,6.00,"52,234.00",309,8.42,328.00
"ANSYS, Inc.","16,045.00",28.00,no,no assurances,"1,739.54",9.22,103.00,Software & IT Services,5.00,0.00,1,0.00,1.00
Aon plc,"51,223.00",76.00,no,no assurances,"11,372.00",4.50,67.00,Insurance,8.00,0.00,1,0.00,1.00
"Applied Materials, Inc.","151,300.00",135.00,yes,limited,"19,827.00",7.63,92.00,Semiconductors,7.00,0.00,1,0.00,1.00
Aptiv PLC,"322,870.00",178.00,no,limited,"13,863.00",23.29,162.00,Auto Parts,1.00,0.00,1,0.00,1.00
Archer-Daniels-Midland Company,"16,230,000.00",302.00,no,limited,"68,278.00",237.70,266.00,Agricultural Products,1.00,"12,388,843.00",379,181.45,356.00
"Arista Networks, Inc.","5,099.00",11.00,no,no assurances,"2,462.05",2.07,44.00,Hardware,1.00,0.00,1,0.00,1.00
Arthur J. Gallagher & Co.,"47,191.00",71.00,no,no assurances,"7,082.80",6.66,80.00,Professional & Commercial Services,7.00,0.00,1,0.00,1.00
"Assurant, Inc.",,328.00,no report,no 2020 GHG data,"10,072.80",,328.00,Insurance,13.00,0.00,1,0.00,1.00
AT&T Inc.,"5,788,258.00",282.00,no,moderate,"172,920.00",33.47,198.00,Telecommunication Services,5.00,0.00,1,0.00,1.00
Atmos Energy Corporation,,328.00,no report,no 2020 GHG data,"3,201.46",,328.00,Gas Utilities & Distributors,3.00,"1,006,969.00",349,314.53,369.00
"Automatic Data Processing, Inc.","98,901.00",108.00,no,limited,"14,645.20",6.75,82.00,Software & IT Services,19.00,0.00,1,0.00,1.00
"AvalonBay Communities, Inc.","68,828.00",90.00,no,limited,"2,249.75",30.59,188.00,Real Estate,7.00,0.00,1,0.00,1.00
Baker Hughes Company,"684,385.00",214.00,no,limited,"20,062.00",34.11,201.00,Oil & Gas – Services,1.00,0.00,1,0.00,1.00
Bank of America Corporation,"61,075.00",86.00,no,reasonable,"80,883.00",0.76,17.00,Commercial Banks,8.00,0.00,1,0.00,1.00
Baxter International Inc.,"611,000.00",204.00,no,reasonable,"11,817.00",51.71,227.00,Medical Equipment & Supplies,14.00,0.00,1,0.00,1.00
Biogen Inc.,"57,736.00",81.00,no,limited,"12,604.30",4.58,68.00,Biotechnology & Pharmaceuticals,3.00,"29,570.00",300,2.35,306.00
"Bio-Rad Laboratories, Inc.",,328.00,no report,no 2020 GHG data,"2,700.78",,328.00,Medical Equipment & Supplies,16.00,0.00,1,0.00,1.00
Booking Holdings Inc.,"44,367.00",65.00,no,no assurances,"5,649.00",7.85,93.00,Internet Media & Services,4.00,0.00,1,0.00,1.00
BorgWarner Inc.,"342,520.00",183.00,yes,no assurances,"11,895.00",28.80,179.00,Auto Parts,2.00,0.00,1,0.00,1.00
Bristol-Myers Squibb Company,"278,040.00",168.00,no,no assurances,"42,810.00",6.49,79.00,Biotechnology & Pharmaceuticals,7.00,"84,259.00",318,1.97,304.00
"Broadridge Financial Solutions, Inc.","44,547.00",67.00,no,no assurances,"4,824.00",9.23,104.00,Software & IT Services,14.00,0.00,1,0.00,1.00
Brown-Forman Corporation,,328.00,no report,no 2020 GHG data,"3,461.00",,328.00,Alcoholic Beverages,2.00,"57,438.00",311,16.60,337.00
"C.H. Robinson Worldwide, Inc.","27,796.00",49.00,no,no assurances,"17,205.97",1.62,35.00,Air Freight & Logistics,1.00,0.00,1,0.00,1.00
Cabot Oil & Gas Corporation,"4,050,000.00",271.00,no,limited,"1,507.74","2,686.14",315.00,Oil & Gas – Exploration & Production,3.00,"530,870.00",341,352.10,371.00
"Cadence Design Systems, Inc.","29,244.00",51.00,no,no assurances,"2,800.96",10.44,110.00,Software & IT Services,11.00,0.00,1,0.00,1.00
Campbell Soup Company,"722,200.00",216.00,yes,limited,"8,711.00",82.91,244.00,Processed Foods,5.00,"197,537.00",332,22.68,340.00
Capital One Financial Corporation,"7,198.00",13.00,no,limited,"24,369.00",0.30,7.00,Consumer Finance,1.00,0.00,1,0.00,1.00
"CarMax, Inc.",,328.00,no report,no 2020 GHG data,"24,588.77",,328.00,Multiline and Specialty Retailers & Distributors,11.00,0.00,1,0.00,1.00
Carnival Corporation & plc,"6,298,244.00",283.00,no,limited,140.00,"44,987.46",327.00,Cruise Lines,2.00,0.00,1,0.00,1.00
Carrier Global Corporation,"391,750.00",188.00,yes,no assurances,"18,267.00",21.45,154.00,Electrical & Electronic Equipment,9.00,0.00,1,0.00,1.00
"Catalent, Inc.","220,000.00",157.00,no,no assurances,"3,757.40",58.55,233.00,Biotechnology & Pharmaceuticals,5.00,0.00,1,0.00,1.00
Caterpillar Inc.,"1,461,000.00",242.00,no,limited,"43,000.00",33.98,199.00,Industrial Machinery & Goods,8.00,"596,462.00",342,13.87,335.00
"Cboe Global Markets, Inc.","11,325.00",22.00,yes,no assurances,"3,516.40",3.22,52.00,Security & Commodity Exchanges,1.00,0.00,1,0.00,1.00
"CBRE Group, Inc.","83,100.00",99.00,no,reasonable,"23,875.91",3.48,56.00,Real Estate Services,1.00,0.00,1,0.00,1.00
CDW Corporation,"17,899.00",31.00,no,no assurances,"18,915.80",0.95,21.00,Software & IT Services,6.00,0.00,1,0.00,1.00
Celanese Corporation,"3,646,965.00",267.00,yes,reasonable,"5,993.00",608.54,290.00,Chemicals,8.00,"2,100,703.00",359,350.53,370.00
Centene Corporation,"153,236.00",136.00,yes,no assurances,"108,147.00",1.42,32.00,Managed Care,3.00,0.00,1,0.00,1.00
"CenterPoint Energy, Inc.","5,295,843.00",281.00,yes,no assurances,"7,798.00",679.13,292.00,Electric Utilities & Power Generators,4.00,"397,227.00",338,50.94,347.00
Cerner Corporation,"133,884.00",129.00,no,no assurances,"5,481.83",24.42,168.00,Software & IT Services,22.00,0.00,1,0.00,1.00
"CF Industries Holdings, Inc.","18,689,037.00",307.00,no,no assurances,"4,201.00","4,448.71",324.00,Chemicals,13.00,"20,066,539.00",385,"4,776.61",399.00
"Charter Communications, Inc.","1,474,549.00",244.00,no,no assurances,"48,881.00",30.17,186.00,Telecommunication Services,1.00,0.00,1,0.00,1.00
Chevron Corporation,"57,000,000.00",324.00,no,reasonable,"95,842.00",594.73,288.00,Oil & Gas – Exploration & Production,6.00,"22,445,606.00",386,234.19,360.00
"Church & Dwight Co., Inc.","100,986.00",112.00,no,no assurances,"4,969.50",20.32,151.00,Household & Personal Products,2.00,0.00,1,0.00,1.00
Cigna Corporation,"136,321.00",131.00,no,limited,"163,141.00",0.84,19.00,Managed Care,2.00,0.00,1,0.00,1.00
Cincinnati Financial Corporation,"24,408.00",43.00,no,no assurances,"9,862.00",2.47,47.00,Insurance,5.00,0.00,1,0.00,1.00
"Cisco Systems, Inc.","202,859.00",153.00,no,limited,"48,846.00",4.15,63.00,Hardware,8.00,0.00,1,0.00,1.00
Citigroup Inc.,"82,299.00",98.00,no,limited,"64,838.00",1.27,28.00,Commercial Banks,10.00,0.00,1,0.00,1.00
"Citizens Financial Group, Inc.","42,650.00",64.00,no,reasonable,"6,031.00",7.07,87.00,Commercial Banks,5.00,0.00,1,0.00,1.00
"Citrix Systems, Inc.","21,418.00",36.00,no,limited,"3,151.52",6.80,83.00,Software & IT Services,9.00,0.00,1,0.00,1.00
CME Group Inc.,,328.00,no report,no 2020 GHG data,"4,602.60",,328.00,Security & Commodity Exchanges,2.00,0.00,1,0.00,1.00
CMS Energy Corporation,"15,128,573.00",298.00,no,limited,"6,899.00","2,192.86",312.00,Electric Utilities & Power Generators,6.00,"16,816,630.00",382,"2,437.55",388.00
Cognizant Technology Solutions Corporation,"108,122.00",120.00,yes,limited,"16,828.00",6.43,78.00,Software & IT Services,21.00,0.00,1,0.00,1.00
Colgate-Palmolive Company,"442,230.00",193.00,no,limited,"16,718.00",26.45,175.00,Household & Personal Products,5.00,0.00,1,0.00,1.00
Comerica Incorporated,"38,025.00",59.00,no,limited,"2,931.00",12.97,128.00,Commercial Banks,3.00,0.00,1,0.00,1.00
"Conagra Brands, Inc.","829,443.00",222.00,yes,limited,"11,733.10",70.69,241.00,Processed Foods,6.00,"123,700.00",325,10.54,332.00
ConocoPhillips,"16,200,000.00",301.00,yes,limited,"22,772.00",711.40,293.00,Oil & Gas – Exploration & Production,5.00,"9,187,289.00",374,403.45,374.00
"Consolidated Edison, Inc.","3,660,000.00",268.00,no,no assurances,"12,689.00",288.44,271.00,Electric Utilities & Power Generators,3.00,"2,805,163.00",362,221.07,358.00
"Constellation Brands, Inc.",,328.00,no report,no 2020 GHG data,"8,614.90",,328.00,Alcoholic Beverages,2.00,0.00,1,0.00,1.00
"Copart, Inc.",,328.00,no report,no 2020 GHG data,"2,469.54",,328.00,Professional & Commercial Services,8.00,0.00,1,0.00,1.00
"Corteva, Inc.","980,000.00",230.00,no,no assurances,"14,439.00",67.87,239.00,Chemicals,7.00,"117,617.00",324,8.15,327.00
Costco Wholesale Corporation,,328.00,no report,no 2020 GHG data,"186,637.00",,328.00,Multiline and Specialty Retailers & Distributors,11.00,0.00,1,0.00,1.00
Crown Castle International Corp. (REIT),"77,800.00",93.00,no,no assurances,"5,904.00",13.18,130.00,Real Estate,8.00,0.00,1,0.00,1.00
CSX Corporation,"3,960,944.00",270.00,yes,reasonable,"10,541.00",375.77,275.00,Rail Transportation,2.00,0.00,1,0.00,1.00
CVS Health Corporation,"1,142,764.00",234.00,no,limited,"270,115.00",4.23,65.00,Drug Retailers,1.00,0.00,1,0.00,1.00
"D.R. Horton, Inc.",,328.00,no report,no 2020 GHG data,"24,170.70",,328.00,Home Builders,4.00,0.00,1,0.00,1.00
Danaher Corporation,"312,860.00",175.00,no,no assurances,"24,799.00",12.62,123.00,Medical Equipment & Supplies,12.00,0.00,1,0.00,1.00
"Darden Restaurants, Inc.",,328.00,no report,no 2020 GHG data,"7,196.10",,328.00,Restaurants,4.00,0.00,1,0.00,1.00
DaVita Inc.,"221,829.00",158.00,no,limited,"11,529.37",19.24,149.00,Health Care Delivery,2.00,0.00,1,0.00,1.00
"Delta Air Lines, Inc.","17,815,645.00",306.00,yes,no assurances,"12,653.00","1,408.02",303.00,Airlines,5.00,"1,501,650.00",355,118.68,353.00
Dentsply Sirona Inc.,"38,600.00",60.00,yes,no assurances,"3,495.00",11.04,115.00,Medical Equipment & Supplies,5.00,0.00,1,0.00,1.00
Devon Energy Corporation,"4,230,000.00",274.00,no,no assurances,"5,365.00",788.44,295.00,Oil & Gas – Exploration & Production,4.00,"2,906,584.00",363,541.77,377.00
"DexCom, Inc.",,328.00,no report,no 2020 GHG data,"2,026.60",,328.00,Medical Equipment & Supplies,16.00,0.00,1,0.00,1.00
"Digital Realty Trust, Inc.","1,866,188.00",251.00,no,limited,"4,169.00",447.63,277.00,Real Estate,21.00,0.00,1,0.00,1.00
"Discovery, Inc.",,328.00,no report,no 2020 GHG data,"10,780.00",,328.00,Media & Entertainment,3.00,0.00,1,0.00,1.00
DISH Network Corporation,,328.00,no report,no 2020 GHG data,"16,773.90",,328.00,Telecommunication Services,6.00,0.00,1,0.00,1.00
"Dollar Tree, Inc.","1,359,055.00",241.00,no,no assurances,"25,702.20",52.88,229.00,Multiline and Specialty Retailers & Distributors,7.00,0.00,1,0.00,1.00
"Dominion Energy, Inc.","33,268,960.00",318.00,no,limited,"14,104.00","2,358.83",313.00,Electric Utilities & Power Generators,12.00,"35,583,561.00",394,"2,522.94",389.00
Dover Corporation,"87,842.00",104.00,yes,moderate,"6,895.72",12.74,125.00,Industrial Machinery & Goods,3.00,0.00,1,0.00,1.00
Dow Inc.,"34,760,000.00",319.00,no,limited,"40,654.00",855.02,297.00,Chemicals,15.00,"16,409,523.00",381,403.64,375.00
Duke Energy Corporation,"74,979,700.00",325.00,no,high,"23,654.00","3,169.85",319.00,Electric Utilities & Power Generators,16.00,"85,956,926.00",399,"3,633.93",394.00
Duke Realty Corporation,,328.00,no report,no 2020 GHG data,"1,068.07",,328.00,Real Estate,22.00,0.00,1,0.00,1.00
"DuPont de Nemours, Inc.","5,148,000.00",278.00,yes,limited,"20,703.00",248.66,267.00,Chemicals,11.00,"1,116,805.00",351,53.94,348.00
DXC Technology Company,"380,880.00",186.00,no,limited,"17,729.00",21.48,155.00,Software & IT Services,26.00,0.00,1,0.00,1.00
Eastman Chemical Company,"6,372,993.00",284.00,no,no assurances,"8,641.00",737.53,294.00,Chemicals,12.00,"6,334,831.00",369,733.11,379.00
Eaton Corporation plc,"900,557.00",223.00,yes,reasonable,"17,761.00",50.70,226.00,Electrical & Electronic Equipment,12.00,0.00,1,0.00,1.00
Ecolab Inc.,"340,004.00",182.00,no,limited,"11,654.60",29.17,182.00,Chemicals,3.00,0.00,1,0.00,1.00
Edison International,"2,200,000.00",256.00,no,no assurances,"13,748.00",160.02,257.00,Electric Utilities & Power Generators,2.00,"1,241,056.00",353,90.27,351.00
Edwards Lifesciences Corporation,"46,215.00",70.00,yes,limited,"4,474.20",10.33,109.00,Medical Equipment & Supplies,6.00,0.00,1,0.00,1.00
Electronic Arts Inc.,,328.00,no report,no 2020 GHG data,"5,629.00",,328.00,Software & IT Services,29.00,0.00,1,0.00,1.00
Eli Lilly and Company,"671,230.00",212.00,yes,limited,"25,485.60",26.34,174.00,Biotechnology & Pharmaceuticals,10.00,0.00,1,0.00,1.00
"Enphase Energy, Inc.",,328.00,no report,no 2020 GHG data,870.63,,328.00,Solar Technology & Project Developers,1.00,0.00,1,0.00,1.00
Entergy Corporation,"33,064,307.00",317.00,no,limited,"10,531.30","3,139.62",318.00,Electric Utilities & Power Generators,11.00,"36,267,972.00",395,"3,443.83",392.00
Equifax Inc.,"27,940.00",50.00,no,no assurances,"4,382.60",6.38,77.00,Professional & Commercial Services,6.00,0.00,1,0.00,1.00
"Equinix, Inc. (REIT)","382,800.00",187.00,no,no assurances,"6,114.63",62.60,236.00,Real Estate,18.00,0.00,1,0.00,1.00
"Essex Property Trust, Inc.","47,711.00",72.00,no,no assurances,"1,515.39",31.48,191.00,Real Estate,6.00,0.00,1,0.00,1.00
"Etsy, Inc.",298.00,2.00,no,limited,"2,048.22",0.15,4.00,E-commerce,1.00,0.00,1,0.00,1.00
"Everest Re Group, Ltd.",,328.00,no report,no 2020 GHG data,"10,335.97",,328.00,Insurance,13.00,0.00,1,0.00,1.00
"Evergy, Inc.",,328.00,no,no assurances,"5,408.60",,328.00,Electric Utilities & Power Generators,18.00,"26,494,543.00",389,"4,898.60",400.00
Eversource Energy,"685,493.00",215.00,no,limited,"9,356.54",73.26,242.00,Electric Utilities & Power Generators,1.00,"153,537.00",328,16.41,336.00
Exelon Corporation,"12,970,146.00",295.00,no,reasonable,"34,182.00",379.44,276.00,Electric Utilities & Power Generators,5.00,"8,591,771.00",372,251.35,362.00
"Expedia Group, Inc.","24,833.00",44.00,no,limited,"4,236.00",5.86,73.00,Internet Media & Services,1.00,0.00,1,0.00,1.00
"Expeditors International of Washington, Inc.","54,452.00",79.00,no,no assurances,"11,572.16",4.71,69.00,Air Freight & Logistics,2.00,0.00,1,0.00,1.00
Extra Space Storage Inc.,"135,770.00",130.00,no,no assurances,"1,406.89",96.50,246.00,Real Estate,11.00,0.00,1,0.00,1.00
Exxon Mobil Corporation,"100,930,000.00",327.00,yes,limited,"182,075.00",554.33,286.00,Oil & Gas – Exploration & Production,7.00,"42,582,820.00",396,233.88,359.00
"F5 Networks, Inc.","14,642.00",27.00,no,no assurances,"2,467.97",5.93,74.00,Hardware,3.00,0.00,1,0.00,1.00
"Facebook, Inc.","37,594.00",58.00,no,limited,"94,399.00",0.40,8.00,Internet Media & Services,3.00,0.00,1,0.00,1.00
Fastenal Company,,328.00,no report,no 2020 GHG data,"5,697.30",,328.00,Multiline and Specialty Retailers & Distributors,11.00,0.00,1,0.00,1.00
Federal Realty Investment Trust,"18,027.00",32.00,no,no assurances,813.86,22.15,158.00,Real Estate,3.00,0.00,1,0.00,1.00
FedEx Corporation,,328.00,no report,no 2020 GHG data,"83,959.00",,328.00,Air Freight & Logistics,4.00,0.00,1,0.00,1.00
"Fidelity National Information Services, Inc.","89,428.00",105.00,no,no assurances,"12,697.00",7.04,86.00,Software & IT Services,18.00,0.00,1,0.00,1.00
Fifth Third Bancorp,"12,995.00",25.00,no,limited,"7,411.00",1.75,38.00,Commercial Banks,2.00,0.00,1,0.00,1.00
First Republic Bank,,328.00,no report,no 2020 GHG data,"4,055.13",,328.00,Commercial Banks,14.00,0.00,1,0.00,1.00
FirstEnergy Corp.,"15,860,888.00",300.00,no,no assurances,"10,624.00","1,492.93",306.00,Metals & Mining,2.00,"27,852,435.00",390,"2,621.65",391.00
"Fiserv, Inc.",,328.00,no report,no 2020 GHG data,"14,838.00",,328.00,Software & IT Services,29.00,0.00,1,0.00,1.00
"FLEETCOR Technologies, Inc.",,328.00,no report,no 2020 GHG data,"2,336.39",,328.00,Software & IT Services,29.00,0.00,1,0.00,1.00
FMC Corporation,"150,615.00",134.00,yes,limited,"4,587.70",32.83,196.00,Chemicals,1.00,0.00,1,0.00,1.00
Ford Motor Company,"3,572,034.00",266.00,no,limited,"129,052.00",27.68,178.00,Automobiles,1.00,"633,370.00",343,4.91,316.00
Fortive Corporation,"60,585.00",85.00,yes,no assurances,"4,785.50",12.66,124.00,Electrical & Electronic Equipment,2.00,0.00,1,0.00,1.00
"Fortune Brands Home & Security, Inc.","323,817.00",179.00,yes,no assurances,"6,458.60",50.14,225.00,Building Products & Furnishings,2.00,0.00,1,0.00,1.00
Fox Corporation,,328.00,no report,no 2020 GHG data,"12,437.00",,328.00,Media & Entertainment,3.00,0.00,1,0.00,1.00
Garmin Ltd.,,328.00,no report,no 2020 GHG data,"4,402.79",,328.00,Hardware,11.00,0.00,1,0.00,1.00
"Gartner, Inc.","3,949.00",9.00,yes,no assurances,"4,184.55",0.94,20.00,Professional & Commercial Services,3.00,0.00,1,0.00,1.00
Generac Holdings Inc.,,328.00,no report,no 2020 GHG data,"2,816.72",,328.00,Electrical & Electronic Equipment,15.00,0.00,1,0.00,1.00
General Dynamics Corporation,"680,600.00",213.00,no,limited,"38,565.00",17.65,145.00,Aerospace & Defense,6.00,0.00,1,0.00,1.00
General Electric Company,"2,080,000.00",255.00,no,no assurances,"77,248.00",26.93,176.00,Electrical & Electronic Equipment,13.00,"789,177.00",348,10.22,331.00
"General Mills, Inc.","559,000.00",203.00,no,moderate,"18,626.40",30.01,185.00,Processed Foods,4.00,"69,236.00",315,3.72,314.00
General Motors Company,"3,813,946.00",269.00,no,limited,"122,250.00",31.20,190.00,Automobiles,2.00,"676,789.00",345,5.54,319.00
Genuine Parts Company,,328.00,no report,no 2020 GHG data,"16,909.62",,328.00,Multiline and Specialty Retailers & Distributors,11.00,0.00,1,0.00,1.00
"Gilead Sciences, Inc.",,328.00,no report,no 2020 GHG data,"25,564.00",,328.00,Biotechnology & Pharmaceuticals,14.00,0.00,1,0.00,1.00
Global Payments Inc.,"45,832.00",69.00,no,no assurances,"7,509.97",6.10,75.00,Software & IT Services,15.00,0.00,1,0.00,1.00
Globe Life Inc.,,328.00,no report,no 2020 GHG data,"4,871.43",,328.00,Insurance,13.00,0.00,1,0.00,1.00
Halliburton Company,"2,692,612.00",261.00,no,no assurances,"12,859.00",209.40,263.00,Oil & Gas – Services,2.00,"79,442.00",316,6.18,323.00
Hanesbrands Inc.,"173,774.00",144.00,yes,limited,"6,969.31",24.93,171.00,"Apparel, Accessories & Footwear",3.00,0.00,1,0.00,1.00
"Hasbro, Inc.","5,895.00",12.00,no,moderate,"5,474.64",1.08,24.00,Toys & Sporting Goods,1.00,0.00,1,0.00,1.00
"HCA Healthcare, Inc.",,328.00,no report,no 2020 GHG data,"52,649.00",,328.00,Health Care Delivery,4.00,0.00,1,0.00,1.00
"Healthpeak Properties, Inc.","288,724.00",171.00,no,limited,"1,719.10",167.95,259.00,Real Estate,16.00,0.00,1,0.00,1.00
Hess Corporation,"3,353,482.00",264.00,no,limited,"5,092.00",658.58,291.00,Oil & Gas – Exploration & Production,2.00,"3,581,050.00",365,703.27,378.00
"Hologic, Inc.",,328.00,no report,no 2020 GHG data,"5,317.20",,328.00,Medical Equipment & Supplies,16.00,0.00,1,0.00,1.00
Honeywell International Inc.,"2,218,536.00",257.00,no,limited,"32,628.00",67.99,240.00,Electrical & Electronic Equipment,14.00,"731,027.00",346,22.40,339.00
Hormel Foods Corporation,"1,469,043.00",243.00,no,no assurances,"9,869.33",148.85,256.00,"Meat, Poultry & Dairy",1.00,"61,277.00",312,6.21,324.00
"Host Hotels & Resorts, Inc.","237,299.00",160.00,no,limited,942.00,251.91,268.00,Real Estate,15.00,0.00,1,0.00,1.00
Howmet Aerospace Inc.,"800,000.00",221.00,no,no assurances,"4,834.00",165.49,258.00,Aerospace & Defense,8.00,0.00,1,0.00,1.00
HP Inc.,"171,000.00",142.00,no,limited,"61,075.00",2.80,49.00,Hardware,7.00,0.00,1,0.00,1.00
Humana Inc.,"100,499.00",111.00,no,limited,"78,888.00",1.27,29.00,Managed Care,1.00,0.00,1,0.00,1.00
Huntington Bancshares Incorporated,"60,201.00",84.00,no,no assurances,"4,475.00",13.45,131.00,Commercial Banks,7.00,0.00,1,0.00,1.00
"Huntington Ingalls Industries, Inc.",,328.00,no report,no 2020 GHG data,"9,376.00",,328.00,Aerospace & Defense,11.00,"55,380.00",310,5.91,322.00
IDEX Corporation,"36,880.00",57.00,yes,no assurances,"2,409.22",15.31,138.00,Industrial Machinery & Goods,1.00,0.00,1,0.00,1.00
"IDEXX Laboratories, Inc.",,328.00,no report,no 2020 GHG data,"2,858.03",,328.00,Medical Equipment & Supplies,16.00,0.00,1,0.00,1.00
IHS Markit Ltd.,,328.00,no report,no 2020 GHG data,"4,481.70",,328.00,Professional & Commercial Services,8.00,0.00,1,0.00,1.00
Illinois Tool Works Inc.,"458,900.00",194.00,no,limited,"12,890.00",35.60,208.00,Industrial Machinery & Goods,7.00,"9,104.00",295,0.71,298.00
"Illumina, Inc.","36,573.00",56.00,no,limited,"3,473.00",10.53,112.00,Medical Equipment & Supplies,4.00,0.00,1,0.00,1.00
Intel Corporation,"2,882,000.00",262.00,no,limited,"77,712.00",37.09,210.00,Semiconductors,10.00,"735,842.00",347,9.47,329.00
International Business Machines Corporation,"621,271.00",205.00,yes,limited,"73,779.00",8.42,95.00,Software & IT Services,28.00,0.00,1,0.00,1.00
International Flavors & Fragrances Inc.,"247,272.00",163.00,no,limited,"6,202.24",39.87,212.00,Chemicals,2.00,"36,254.00",305,5.85,321.00
International Paper Company,"12,400,000.00",293.00,no,no assurances,"20,591.00",602.20,289.00,Containers & Packaging,4.00,"6,149,848.00",368,298.67,366.00
Intuit Inc.,"4,230.00",10.00,no,no assurances,"8,888.00",0.48,9.00,Software & IT Services,2.00,0.00,1,0.00,1.00
Invesco Ltd.,"9,117.00",19.00,yes,no assurances,"6,206.40",1.47,33.00,Asset Management & Custody Activities,3.00,0.00,1,0.00,1.00
